Field ID	Description
20117	Alcohol drinker status
1558	Alcohol intake frequency.
1628	Alcohol intake versus 10 years previously
1618	Alcohol usually taken with meals
4429	Average monthly beer plus cider intake
4418	Average monthly champagne plus white wine intake
4451	Average monthly fortified wine intake
4462	Average monthly intake of other alcoholic drinks
4407	Average monthly red wine intake
4440	Average monthly spirits intake
1588	Average weekly beer plus cider intake
1578	Average weekly champagne plus white wine intake
1608	Average weekly fortified wine intake
5364	Average weekly intake of other alcoholic drinks
1568	Average weekly red wine intake
1598	Average weekly spirits intake
3731	Former alcohol drinker
2664	Reason for reducing amount of alcohol drunk
10818	Reason for reducing amount of alcohol drunk (pilot)
3859	Reason former drinker stopped drinking alcohol
10853	Reason former drinker stopped drinking alcohol (pilot)
100580	Alcohol consumed
100710	Beer/cider intake
100720	Fortified wine intake
100740	Other alcohol intake
100590	Red wine intake
100630	Rose wine intake
20096	Size of red wine glass drunk
20097	Size of rose wine glass drunk
20095	Size of white wine glass drunk
100730	Spirits intake
100670	White wine intake
101020	Baguette intake
101090	Bap intake
100940	Bread consumed
101160	Bread roll intake
102740	Brown rice intake
101300	Butter/margarine on bread/crackers
102770	Couscous intake
101250	Crispbread intake
101240	Garlic bread intake
101230	Naan bread intake
101350	Number of baguettes with butter/margarine
101390	Number of baps with butter/margarine
101430	Number of bread rolls with butter/margarine
101310	Number of bread slices with butter/margarine
101470	Number of crackers/crispbreads with butter/margarine
101510	Number of oatcakes with butter/margarine
101550	Number of other bread types with butter/margarine
101260	Oatcakes intake
101270	Other bread intake
102780	Other grain intake
100950	Sliced bread intake
102760	Snackpot intake
102700	Starchy food consumers
102750	Sushi intake
20099	Thickness of butter/margarine spread on baguettes
20101	Thickness of butter/margarine spread on bread rolls
20102	Thickness of butter/margarine spread on crackers/crispbreads
20100	Thickness of butter/margarine spread on large baps
20103	Thickness of butter/margarine spread on oatcakes
20104	Thickness of butter/margarine spread on other bread
20098	Thickness of butter/margarine spread on sliced bread
20092	Type of baguette eaten
20094	Type of bread roll eaten
20093	Type of large bap eaten
20091	Type of sliced bread eaten
