Field ID	Description	Category
90027	Average acceleration 00:00 - 00:59	Acceleration averages
90028	Average acceleration 01:00 - 01:59	Acceleration averages
90029	Average acceleration 02:00 - 02:59	Acceleration averages
90030	Average acceleration 03:00 - 03:59	Acceleration averages
90031	Average acceleration 04:00 - 04:59	Acceleration averages
90032	Average acceleration 05:00 - 05:59	Acceleration averages
90033	Average acceleration 06:00 - 06:59	Acceleration averages
90034	Average acceleration 07:00 - 07:59	Acceleration averages
90035	Average acceleration 08:00 - 08:59	Acceleration averages
90036	Average acceleration 09:00 - 09:59	Acceleration averages
90037	Average acceleration 10:00 - 10:59	Acceleration averages
90038	Average acceleration 11:00 - 11:59	Acceleration averages
90039	Average acceleration 12:00 - 12:59	Acceleration averages
90040	Average acceleration 13:00 - 13:59	Acceleration averages
90041	Average acceleration 14:00 - 14:59	Acceleration averages
90042	Average acceleration 15:00 - 15:59	Acceleration averages
90043	Average acceleration 16:00 - 16:59	Acceleration averages
90044	Average acceleration 17:00 - 17:59	Acceleration averages
90045	Average acceleration 18:00 - 18:59	Acceleration averages
90046	Average acceleration 19:00 - 19:59	Acceleration averages
90047	Average acceleration 20:00 - 20:59	Acceleration averages
90048	Average acceleration 21:00 - 21:59	Acceleration averages
90049	Average acceleration 22:00 - 22:59	Acceleration averages
90050	Average acceleration 23:00 - 23:59	Acceleration averages
90023	Friday average acceleration	Acceleration averages
90019	Monday average acceleration	Acceleration averages
90091	No-wear time bias adjusted acceleration maximum	Acceleration averages
90089	No-wear time bias adjusted acceleration median	Acceleration averages
90090	No-wear time bias adjusted acceleration minimum	Acceleration averages
90088	No-wear time bias adjusted acceleration standard deviation	Acceleration averages
90087	No-wear time bias adjusted average acceleration	Acceleration averages
90012	Overall acceleration average	Acceleration averages
90024	Saturday average acceleration	Acceleration averages
90013	Standard deviation of acceleration	Acceleration averages
90025	Sunday average acceleration	Acceleration averages
90022	Thursday average acceleration	Acceleration averages
90020	Tuesday average acceleration	Acceleration averages
90021	Wednesday average acceleration	Acceleration averages
