data_field	col_start	col_end	data_type	data_coding	field_name
20117	8847	8850	Categorical (single)	90	Alcohol drinker status
1558	770	773	Categorical (single)	100402	Alcohol intake frequency.
1628	798	801	Categorical (single)	100417	Alcohol intake versus 10 years previously
1618	794	797	Categorical (single)	100416	Alcohol usually taken with meals
4429	2967	2970	Integer	100291	Average monthly beer plus cider intake
4418	2963	2966	Integer	100291	Average monthly champagne plus white wine intake
4451	2975	2978	Integer	100291	Average monthly fortified wine intake
4462	2979	2982	Integer	100291	Average monthly intake of other alcoholic drinks
4407	2959	2962	Integer	100291	Average monthly red wine intake
4440	2971	2974	Integer	100291	Average monthly spirits intake
1588	782	785	Integer	100291	Average weekly beer plus cider intake
1578	778	781	Integer	100291	Average weekly champagne plus white wine intake
1608	790	793	Integer	100291	Average weekly fortified wine intake
5364	4253	4256	Integer	100291	Average weekly intake of other alcoholic drinks
1568	774	777	Integer	100291	Average weekly red wine intake
1598	786	789	Integer	100291	Average weekly spirits intake
3731	1451	1454	Categorical (single)	100352	Former alcohol drinker
2664	1085	1088	Categorical (single)	100418	Reason for reducing amount of alcohol drunk
10818	6427	6427	Categorical (single)	100669	Reason for reducing amount of alcohol drunk (pilot)
3859	1495	1498	Categorical (single)	100418	Reason former drinker stopped drinking alcohol
10853	6430	6430	Categorical (single)	100669	Reason former drinker stopped drinking alcohol (pilot)
100580	17047	17051	Categorical (single)	100010	Alcohol consumed
100710	17067	17071	Categorical (single)	100006	Beer/cider intake
100720	17072	17076	Categorical (single)	100006	Fortified wine intake
100740	17082	17086	Categorical (single)	100006	Other alcohol intake
100590	17052	17056	Categorical (single)	100006	Red wine intake
100630	17057	17061	Categorical (single)	100006	Rose wine intake
20096	8460	8469	Categorical (multiple)	82	Size of red wine glass drunk
20097	8470	8479	Categorical (multiple)	82	Size of rose wine glass drunk
20095	8445	8459	Categorical (multiple)	82	Size of white wine glass drunk
100730	17077	17081	Categorical (single)	100006	Spirits intake
100670	17062	17066	Categorical (single)	100006	White wine intake
101020	17167	17171	Categorical (single)	100006	Baguette intake
101090	17172	17176	Categorical (single)	100006	Bap intake
100940	17157	17161	Categorical (single)	100010	Bread consumed
101160	17177	17181	Categorical (single)	100006	Bread roll intake
102740	17532	17536	Categorical (single)	100001	Brown rice intake
101300	17207	17211	Categorical (single)	100010	Butter/margarine on bread/crackers
102770	17547	17551	Categorical (single)	100001	Couscous intake
101250	17192	17196	Categorical (single)	100006	Crispbread intake
101240	17187	17191	Categorical (single)	100006	Garlic bread intake
101230	17182	17186	Categorical (single)	100006	Naan bread intake
101350	17217	17221	Categorical (single)	100006	Number of baguettes with butter/margarine
101390	17222	17226	Categorical (single)	100006	Number of baps with butter/margarine
101430	17227	17231	Categorical (single)	100006	Number of bread rolls with butter/margarine
101310	17212	17216	Categorical (single)	100006	Number of bread slices with butter/margarine
101470	17232	17236	Categorical (single)	100006	Number of crackers/crispbreads with butter/margarine
101510	17237	17241	Categorical (single)	100006	Number of oatcakes with butter/margarine
101550	17242	17246	Categorical (single)	100006	Number of other bread types with butter/margarine
101260	17197	17201	Categorical (single)	100006	Oatcakes intake
101270	17202	17206	Categorical (single)	100006	Other bread intake
102780	17552	17556	Categorical (single)	100001	Other grain intake
100950	17162	17166	Categorical (single)	100006	Sliced bread intake
102760	17542	17546	Categorical (single)	100001	Snackpot intake
102700	17512	17516	Categorical (single)	100010	Starchy food consumers
102750	17537	17541	Categorical (single)	100001	Sushi intake
20099	8495	8504	Categorical (multiple)	83	Thickness of butter/margarine spread on baguettes
20101	8515	8524	Categorical (multiple)	83	Thickness of butter/margarine spread on bread rolls
20102	8525	8534	Categorical (multiple)	83	Thickness of butter/margarine spread on crackers/crispbreads
20100	8505	8514	Categorical (multiple)	83	Thickness of butter/margarine spread on large baps
20103	8535	8544	Categorical (multiple)	83	Thickness of butter/margarine spread on oatcakes
20104	8545	8554	Categorical (multiple)	83	Thickness of butter/margarine spread on other bread
20098	8480	8494	Categorical (multiple)	83	Thickness of butter/margarine spread on sliced bread
20092	8375	8399	Categorical (multiple)	81	Type of baguette eaten
20094	8420	8444	Categorical (multiple)	81	Type of bread roll eaten
20093	8400	8419	Categorical (multiple)	81	Type of large bap eaten
20091	8350	8374	Categorical (multiple)	81	Type of sliced bread eaten
20087	8260	8324	Categorical (multiple)	77	Types of spread used on bread/crackers
102710	17517	17521	Categorical (single)	100001	White pasta intake
102730	17527	17531	Categorical (single)	100001	White rice intake
102720	17522	17526	Categorical (single)	100001	Wholemeal pasta intake
100840	17117	17121	Categorical (single)	100001	Bran cereal intake
100760	17087	17091	Categorical (single)	100010	Breakfast cereal consumed
100880	17132	17136	Categorical (single)	100009	Dried fruit added to cereal
100910	17147	17151	Categorical (single)	100002	Intake of artificial sweetener added to cereal
100900	17142	17146	Categorical (single)	100002	Intake of sugar added to cereal
20105	8555	8564	Categorical (multiple)	84	Liquid used to make porridge
100890	17137	17141	Categorical (single)	100009	Milk added to cereal
100800	17097	17101	Categorical (single)	100001	Muesli intake
100810	17102	17106	Categorical (single)	100001	Oat crunch intake
100860	17127	17131	Categorical (single)	100001	Other cereal intake
100830	17112	17116	Categorical (single)	100001	Plain cereal intake
100770	17092	17096	Categorical (single)	100001	Porridge intake
100820	17107	17111	Categorical (single)	100001	Sweetened cereal intake
100850	17122	17126	Categorical (single)	100001	Whole-wheat cereal intake
3680	1435	1438	Integer	100291	Age when last ate meat
1369	702	705	Categorical (single)	100377	Beef intake
