data_field	col_start	col_end	data_type	data_coding	field_name
90027	16554	16554	Continuous	0	Average acceleration 00:00 - 00:59
90028	16555	16555	Continuous	0	Average acceleration 01:00 - 01:59
90029	16556	16556	Continuous	0	Average acceleration 02:00 - 02:59
90030	16557	16557	Continuous	0	Average acceleration 03:00 - 03:59
90031	16558	16558	Continuous	0	Average acceleration 04:00 - 04:59
90032	16559	16559	Continuous	0	Average acceleration 05:00 - 05:59
90033	16560	16560	Continuous	0	Average acceleration 06:00 - 06:59
90034	16561	16561	Continuous	0	Average acceleration 07:00 - 07:59
90035	16562	16562	Continuous	0	Average acceleration 08:00 - 08:59
90036	16563	16563	Continuous	0	Average acceleration 09:00 - 09:59
90037	16564	16564	Continuous	0	Average acceleration 10:00 - 10:59
90038	16565	16565	Continuous	0	Average acceleration 11:00 - 11:59
90039	16566	16566	Continuous	0	Average acceleration 12:00 - 12:59
90040	16567	16567	Continuous	0	Average acceleration 13:00 - 13:59
90041	16568	16568	Continuous	0	Average acceleration 14:00 - 14:59
90042	16569	16569	Continuous	0	Average acceleration 15:00 - 15:59
90043	16570	16570	Continuous	0	Average acceleration 16:00 - 16:59
90044	16571	16571	Continuous	0	Average acceleration 17:00 - 17:59
90045	16572	16572	Continuous	0	Average acceleration 18:00 - 18:59
90046	16573	16573	Continuous	0	Average acceleration 19:00 - 19:59
90047	16574	16574	Continuous	0	Average acceleration 20:00 - 20:59
90048	16575	16575	Continuous	0	Average acceleration 21:00 - 21:59
90049	16576	16576	Continuous	0	Average acceleration 22:00 - 22:59
90050	16577	16577	Continuous	0	Average acceleration 23:00 - 23:59
90023	16550	16550	Continuous	0	Friday average acceleration
90019	16546	16546	Continuous	0	Monday average acceleration
90091	16618	16618	Continuous	0	No-wear time bias adjusted acceleration maximum
90089	16616	16616	Continuous	0	No-wear time bias adjusted acceleration median
90090	16617	16617	Continuous	0	No-wear time bias adjusted acceleration minimum
90088	16615	16615	Continuous	0	No-wear time bias adjusted acceleration standard deviation
90087	16614	16614	Continuous	0	No-wear time bias adjusted average acceleration
90012	16540	16540	Continuous	0	Overall acceleration average
90024	16551	16551	Continuous	0	Saturday average acceleration
90013	16541	16541	Continuous	0	Standard deviation of acceleration
90025	16552	16552	Continuous	0	Sunday average acceleration
90022	16549	16549	Continuous	0	Thursday average acceleration
90020	16547	16547	Continuous	0	Tuesday average acceleration
90021	16548	16548	Continuous	0	Wednesday average acceleration
90092	16619	16619	Continuous	0	Fraction acceleration <= 1 milli-gravities
90101	16628	16628	Continuous	0	Fraction acceleration <= 10 milli-gravities
90127	16654	16654	Continuous	0	Fraction acceleration <= 100 milli-gravities
90148	16675	16675	Continuous	0	Fraction acceleration <= 1000 milli-gravities
90102	16629	16629	Continuous	0	Fraction acceleration <= 11 milli-gravities
90149	16676	16676	Continuous	0	Fraction acceleration <= 1100 milli-gravities
