encoding_id	title	availability	coded_as	structure	num_members	descript
0	NOT-ENCODED	0	0	1	1024	null-parent
1	Flag indicating Yes/True/Presence	0	11	1	1	Simple flag for use when items have value of Yes/True/Present or no value.
2	Employment	0	11	2	26408	SOC2000 classification used to code employment
3	Cancer	0	11	2	89	Tree-structured list used by clinic nurses to code cancers
4	Treatments	0	11	1	6745	List used by clinic nurses to code medical treatments
5	Operation	0	11	2	270	Tree-structured list used by clinic nurses to code operations
6	Non-cancer Illness	0	11	2	474	Tree-structured list used by clinic nurses to code non-cancer illness<p>Note that myasthenia gravis appears twice (under codes 1260 and 1437) and both these should be treated identically.
7	Yes No dichotomous choice	0	11	1	2	Options for basic Yes or No choice
8	Calendar Month	0	11	1	12	Calendar month within year
9	Sex	0	11	1	2	Biological sex
10	Assessment Centre	0	11	1	27	The assessment centre at which a participant consented
11	Consent statuses	0	11	1	4	Ongoing status/nature of participant consent
12	ACE boolean	0	11	1	2	True/False boolean value
13	event-time-exceptions	0	31	1	2	Coding for time unknown
14	event-time-coding	0	11	1	4	Method of entering time when event occurred
15	SIN-volumes	0	11	1	5	Percentage of arbitrary maximum volume for sound-in-noise test
16	PM choices	0	11	1	5	Colour/shape choices for Prospective Memory test
17	Use of Next button in touchscreen hearing test	0	11	1	1	desc
18	Prospective memory grouping	0	11	1	3	Describes when participants achieved correct answer
19	ICD10	0	41	2	19155	ICD10 - WHO International Classification of Diseases<p>ICD-10 codes, terms and text used by permission of WHO, from: International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10). Vols 1-3. Geneva, World Health Organization, 1992-2016.
20	ACE-coding20	0	11	1	2	Artificial coding, generated after data collection
21	Yes No or Unknown	0	11	1	3	Artificial coding, generated after data collection
22	ACE-coding22	0	11	1	3	Artificial coding, generated after data collection
23	ACE-coding23	0	11	1	3	Artificial coding, generated after data collection
24	ACE-coding24	0	11	1	2	Artificial coding, generated after data collection
25	ACE-coding25	0	11	1	2	Artificial coding, generated after data collection
26	ACE-coding26	0	11	1	7	Artificial coding, generated after data collection
27	Yes No or Unsure (=2)	0	11	1	3	Artificial coding, generated after data collection
28	ACE-coding28	0	11	1	1	Artificial coding, generated after data collection
29	Yes No or Abandon	0	11	1	3	Artificial coding, generated after data collection
30	ACE-coding30	0	11	1	3	Artificial coding, generated after data collection
31	ACE-coding31	0	11	1	3	Artificial coding, generated after data collection
32	ACE-coding32	0	11	1	2	Artificial coding, generated after data collection
33	ACE-coding33	0	11	1	3	Artificial coding, generated after data collection
34	ACE-coding34	0	11	1	2	Artificial coding, generated after data collection
35	ACE-coding35	0	11	1	5	Artificial coding, generated after data collection
36	ACE-coding36	0	11	1	3	Artificial coding, generated after data collection
37	age-year exceptions	0	11	1	2	Coding for time unknown
38	Tumour Histology	0	11	2	682	Tumour Histology codings used by UK Cancer Registry
