field_id	title	item_type
3	Verbal interview duration	0
4	Biometrics duration	0
5	Sample collection duration	0
6	Conclusion duration	0
19	Heel ultrasound method	0
21	Weight method	0
23	Spirometry method	0
31	Sex	0
33	Date of birth	0
34	Year of birth	0
35	Was blood sampling attempted	0
36	Blood pressure device ID	0
37	Blood pressure manual sphygmomanometer device ID	0
38	Hand grip dynamometer device ID	0
39	Height measure device ID	0
40	Manual scales device ID	0
41	Seating box device ID	0
42	Spirometer device ID	0
43	Impedance device ID	0
44	Tape measure device ID	0
45	Heel ultrasound device id	0
46	Hand grip strength (left)	0
47	Hand grip strength (right)	0
48	Waist circumference	0
49	Hip circumference	0
50	Standing height	0
51	Seated height	0
52	Month of birth	0
53	Date of attending assessment centre	0
54	UK Biobank assessment centre	0
55	Month of attending assessment centre	0
62	Willing to attempt cognitive tests	0
68	Number of blood samples taken	0
74	Fasting time	0
77	Heel bone ultrasound T-score, manual entry	0
78	Heel bone mineral density (BMD) T-score, automated	0
84	Cancer year/age first occurred	0
87	Non-cancer illness year/age first occurred	0
92	Operation year/age first occurred	0
93	Systolic blood pressure, manual reading	0
94	Diastolic blood pressure, manual reading	0
95	Pulse rate (during blood-pressure measurement)	0
96	Time since interview start at which blood pressure screen(s) shown	0
102	Pulse rate, automated reading	0
111	Aide-memoire completed	0
115	Father's month of birth	0
117	Mother's month of birth	0
118	Mother's day of birth	0
120	Birth weight known	0
129	Place of birth in UK - north co-ordinate	0
130	Place of birth in UK - east co-ordinate	0
132	Job code at visit - entered	0
134	Number of self-reported cancers	0
135	Number of self-reported non-cancer illnesses	0
136	Number of operations, self-reported	0
137	Number of treatments/medications taken	0
146	Father's day of birth	0
189	Townsend deprivation index at recruitment	0
190	Reason lost to follow-up	0
191	Date lost to follow-up	0
200	Date of consenting to join UK Biobank	0
393	Program (tactus) version ID (compiler timestamp)	0
396	Number of columns displayed in round	0
397	Number of rows displayed in round	0
398	Number of correct matches in round	0
399	Number of incorrect matches in round	0
400	Time to complete round	0
401	Index for card A in round	0
402	Index for card B in round	0
403	Number of times snap-button pressed	0
404	Duration to first press of snap-button in each round	0
